,HIP,Parallax,RA,Dec,Vmag,Spectral_Type,Distance
15538,22614,8.43,045156.79,+545409.5,7.65,G,118.62396204033215
15548,22624,12.28,045204.18,+562524.3,8.07,G,81.43322475570034
15551,22627,82.52,045205.64,+062838.3,11.94,G,12.11827435773146
15558,22634,4.27,045210.93,+004508.1,9.25,G,234.192037470726
15559,22635 H,4.29,045211.24,+044132.9,7.81,G,233.1002331002331
15569,22650,15.43,045221.47,+455624.2,6.69,G,64.80881399870383
15573,*22654,18.93,045223.48,+185949.2,10.29,G,52.826201796090864
15578,22659,4.46,045225.80,+504722.2,8.76,G,224.2152466367713
15580,22661,4.15,045227.80,+391703.2,7.91,G,240.96385542168673
15597,22688,19.75,045244.97,+143723.6,7.51,G,50.63291139240506
15604,22695,13.2,045246.66,+513234.5,7.87,G,75.75757575757576
15607,22718,11.0,045307.03,+344220.7,8.27,G,90.9090909090909
15617,*22728,1.43,045322.05,+013143.0,9.18,G,699.3006993006993
15623,*22734,8.46,045327.66,+092928.2,8.61,G,118.20330969267138
15635,22751,11.62,045338.68,+230113.2,9.29,G,86.05851979345955
15640,22756,5.03,045341.82,+060100.8,7.51,G,198.80715705765405
15652,22768 H,12.03,045351.85,+672915.2,7.58,G,83.1255195344971
15658,22774,5.71,045355.80,+013409.8,6.61,G,175.13134851138355
15661,22777,13.44,045356.43,+691421.7,9.78,G,74.40476190476191
15666,22782,14.82,045403.00,+170136.6,7.22,G,67.47638326585695
15673,22789,3.49,045410.64,+321239.9,9.03,G,286.5329512893983
15676,22792,15.87,045412.97,+235956.1,7.53,G,63.0119722747322
15689,22805,5.52,045420.63,+173633.1,9.59,G,181.1594202898551
15691,22817,14.87,045433.35,+454051.9,7.95,G,67.24949562878278
15697,22823,4.39,045441.20,+120132.9,7.44,G,227.79043280182233
15700,22826,18.58,045443.60,+122108.3,7.13,G,53.82131324004306
15702,22828,12.01,045444.77,+044625.0,7.9,G,83.26394671107411
15709,22845,27.04,045453.70,+100904.1,4.64,G,36.98224852071006
15716,22852,7.15,045458.94,+052255.5,12.39,G,139.86013986013987
15717,22853 H,4.38,045500.27,+143537.6,7.5,G,228.31050228310502
15722,22858,16.87,045504.47,+454405.1,11.04,G,59.276822762299936
15731,22872,2.3,045511.34,+201849.9,8.5,G,434.7826086956522
15739,22880,7.49,045518.53,+025747.8,7.86,G,133.5113484646195
15748,22889,14.24,045522.68,+053810.7,8.36,G,70.2247191011236
15752,22893,9.66,045526.24,+101230.0,9.16,G,103.51966873706004
15760,22906,28.08,045541.56,+200010.5,7.98,G,35.612535612535616
15769,22915,11.89,045552.45,+430920.5,8.27,G,84.10428931875525
15775,22926,12.45,045601.03,+013730.3,6.88,G,80.32128514056225
15776,22927,7.2,045603.00,+111434.4,8.56,G,138.88888888888889
15789,22940,25.5,045610.61,+025605.6,8.43,G,39.21568627450981
15791,22947,7.69,045614.18,+213420.7,7.35,G,130.03901170351105
15795,22951 H,10.15,045616.87,+520552.2,7.92,G,98.52216748768473
15801,22957,19.26,045622.32,+133052.5,4.06,G,51.92107995846313
15808,22964,5.83,045629.01,+295941.9,9.78,G,171.52658662092625
15812,22973,15.17,045636.64,+725704.2,9.89,G,65.91957811470007
15829,23015,6.37,045659.62,+330958.1,2.69,G,156.98587127158555
15830,23016,10.97,045659.96,+735023.8,9.45,G,91.15770282588878
